rev start_time key_size num_parties set_size old_method strategy result
fff3599a4ae06bbc20ec9024f5384df242c820be 1472040774.64 80 5 4 False POLYNOMIALS |(0.116848, 34526)||(0.116412, 6345)||(0.11540600000000001, 6263)||(0.114494, 6247)||(0.113813, 6231)|
fff3599a4ae06bbc20ec9024f5384df242c820be 1472040777.4 80 5 4 False POLYNOMIALS |(0.117804, 34526)||(0.11691800000000001, 6279)||(0.11536199999999999, 6263)||(0.11585899999999999, 6247)||(0.117497, 6231)|
fff3599a4ae06bbc20ec9024f5384df242c820be 1472040779.95 80 5 4 False POLYNOMIALS |(0.12242700000000001, 34460)||(0.11411700000000001, 6345)||(0.122077, 6395)||(0.11590600000000001, 6313)||(0.11235099999999999, 6231)|
fff3599a4ae06bbc20ec9024f5384df242c820be 1472040782.52 80 5 4 False POLYNOMIALS |(0.117648, 34460)||(0.115213, 6345)||(0.11739400000000001, 6395)||(0.113956, 6247)||(0.113088, 6231)|
fff3599a4ae06bbc20ec9024f5384df242c820be 1472040785.13 80 5 4 False POLYNOMIALS |(0.120609, 34460)||(0.120074, 6411)||(0.11819299999999999, 6263)||(0.11653, 6247)||(0.11637900000000001, 6231)|
fff3599a4ae06bbc20ec9024f5384df242c820be 1472040787.69 80 5 4 False POLYNOMIALS |(0.120613, 34460)||(0.11179900000000001, 6279)||(0.115956, 6263)||(0.118407, 6247)||(0.120223, 6231)|
fff3599a4ae06bbc20ec9024f5384df242c820be 1472040790.28 80 5 4 False POLYNOMIALS |(0.119007, 34526)||(0.11846899999999999, 6411)||(0.117632, 6263)||(0.116267, 6247)||(0.11670699999999999, 6231)|
fff3599a4ae06bbc20ec9024f5384df242c820be 1472040792.84 80 5 4 False POLYNOMIALS |(0.11886100000000001, 34526)||(0.11172499999999999, 6279)||(0.110159, 6263)||(0.118499, 6247)||(0.116928, 6231)|
fff3599a4ae06bbc20ec9024f5384df242c820be 1472040795.38 80 5 4 False POLYNOMIALS |(0.122122, 34460)||(0.114353, 6345)||(0.11402899999999999, 6263)||(0.11224500000000001, 6247)||(0.121643, 6231)|
fff3599a4ae06bbc20ec9024f5384df242c820be 1472040797.97 80 5 4 False POLYNOMIALS |(0.118524, 34526)||(0.116294, 6279)||(0.11821599999999999, 6263)||(0.117062, 6247)||(0.11695799999999999, 6231)|
fff3599a4ae06bbc20ec9024f5384df242c820be 1472040800.57 80 5 4 False BLOOM_FILTER |(0.183051, 35318)||(0.116648, 7966)||(0.18250999999999998, 8082)||(0.181845, 8066)||(0.116228, 7918)|
fff3599a4ae06bbc20ec9024f5384df242c820be 1472040803.19 80 5 4 False BLOOM_FILTER |(0.118979, 35186)||(0.110201, 7966)||(0.116153, 8016)||(0.11230899999999999, 7934)||(0.118227, 7918)|
