rev start_time key_size num_parties set_size old_method strategy result
fff3599a4ae06bbc20ec9024f5384df242c820be 1472040774.64 80 5 4 False POLYNOMIALS |(0.1194463, 34493)||(0.11553739999999998, 6331)||(0.11644239999999999, 6289)||(0.1159225, 6253)||(0.11655869999999999, 6231)|
fff3599a4ae06bbc20ec9024f5384df242c820be 1472040800.57 80 5 4 False BLOOM_FILTER |(0.12619989999999998, 35229)||(0.1133167, 7979)||(0.12206779999999999, 7873)||(0.12196689999999999, 7953)||(0.11670240000000001, 7918)|
fff3599a4ae06bbc20ec9024f5384df242c820be 1472040826.48 80 5 4 False POLYNOMIALS_SIMPLE_HASH |(0.12042660000000001, 34863)||(0.1175941, 6617)||(0.11698990000000001, 7028)||(0.1172188, 6929)||(0.1170421, 6964)|
fff3599a4ae06bbc20ec9024f5384df242c820be 1472040852.12 80 5 4 False GAUSS_SIMPLE_HASH |(0.1375583, 34697)||(0.12751320000000002, 6381)||(0.121582, 6385)||(0.1156471, 6332)||(0.1336421, 6313)|
fff3599a4ae06bbc20ec9024f5384df242c820be 1472040878.12 128 5 4 False POLYNOMIALS |(0.25488609999999995, 34905)||(0.2534929, 10297)||(0.2524429, 10254)||(0.2482742, 10159)||(0.24824209999999997, 10137)|
fff3599a4ae06bbc20ec9024f5384df242c820be 1472040905.32 128 5 4 False BLOOM_FILTER |(0.28421409999999997, 35075)||(0.2665498, 11048)||(0.2523469, 10930)||(0.27950440000000004, 10771)||(0.2646447, 10736)|
fff3599a4ae06bbc20ec9024f5384df242c820be 1472040932.67 128 5 4 False POLYNOMIALS_SIMPLE_HASH |(0.25806120000000005, 34985)||(0.25280919999999996, 10384)||(0.25445850000000003, 10729)||(0.2512508, 10297)||(0.2523659, 10343)|
fff3599a4ae06bbc20ec9024f5384df242c820be 1472040959.76 128 5 4 False GAUSS_SIMPLE_HASH |(0.2712101, 34886)||(0.25244710000000004, 10291)||(0.26727219999999996, 10262)||(0.25043699999999997, 10191)||(0.26326079999999996, 10174)|
fff3599a4ae06bbc20ec9024f5384df242c820be 1472040986.96 80 5 16 False POLYNOMIALS |(0.1447751, 34725)||(0.1372508, 6364)||(0.1219017, 6289)||(0.13618429999999998, 6420)||(0.12248049999999999, 6244)|
fff3599a4ae06bbc20ec9024f5384df242c820be 1472041012.99 80 5 16 False BLOOM_FILTER |(0.1337932, 35476)||(0.12405150000000001, 20527)||(0.1152245, 20451)||(0.1241193, 20468)||(0.128683, 20439)|
fff3599a4ae06bbc20ec9024f5384df242c820be 1472041038.91 80 5 16 False POLYNOMIALS_SIMPLE_HASH |(0.1377767, 36485)||(0.1360134, 9973)||(0.12183360000000001, 9691)||(0.1228486, 10007)||(0.13429419999999997, 9771)|
fff3599a4ae06bbc20ec9024f5384df242c820be 1472041064.9 80 5 16 False GAUSS_SIMPLE_HASH |(0.1267989, 34998)||(0.1161524, 8641)||(0.11659919999999999, 8680)||(0.1172448, 8896)||(0.1149705, 8396)|
fff3599a4ae06bbc20ec9024f5384df242c820be 1472041090.71 128 5 16 False POLYNOMIALS |(0.27140369999999997, 34926)||(0.25326630000000006, 10264)||(0.25045989999999996, 10188)||(0.26801379999999997, 10186)||(0.26693449999999996, 10150)|
fff3599a4ae06bbc20ec9024f5384df242c820be 1472041118.03 128 5 16 False BLOOM_FILTER |(0.25975849999999995, 35388)||(0.25684949999999995, 23653)||(0.25434829999999997, 21397)||(0.2515092, 20817)||(0.25162470000000003, 19702)|
fff3599a4ae06bbc20ec9024f5384df242c820be 1472041145.14 128 5 16 False POLYNOMIALS_SIMPLE_HASH |(0.2648788, 35868)||(0.2625107, 13457)||(0.2592007, 12894)||(0.2578393, 12477)||(0.2568913, 12244)|
fff3599a4ae06bbc20ec9024f5384df242c820be 1472041172.39 128 5 16 False GAUSS_SIMPLE_HASH |(0.26086, 34918)||(0.25332990000000005, 10858)||(0.24998549999999997, 10497)||(0.24872799999999998, 10168)||(0.2503584, 10614)|
fff3599a4ae06bbc20ec9024f5384df242c820be 1472041199.7 80 5 64 False POLYNOMIALS |(0.1296591, 67769)||(0.12213210000000001, 6421)||(0.1205916, 6810)||(0.1231274, 7000)||(0.12294759999999998, 6384)|
fff3599a4ae06bbc20ec9024f5384df242c820be 1472041225.71 80 5 64 False BLOOM_FILTER |(0.1422095, 69061)||(0.1289777, 48482)||(0.12240119999999999, 53297)||(0.1352556, 54326)||(0.12739209999999998, 45405)|
fff3599a4ae06bbc20ec9024f5384df242c820be 1472041251.6 80 5 64 False POLYNOMIALS_SIMPLE_HASH |(0.15336080000000002, 70046)||(0.14516, 22646)||(0.1459607, 24698)||(0.1464784, 24725)||(0.1447905, 25456)|
fff3599a4ae06bbc20ec9024f5384df242c820be 1472041278.07 80 5 64 False GAUSS_SIMPLE_HASH |(0.1502019, 69181)||(0.1186188, 24243)||(0.11825459999999999, 24865)||(0.11956610000000001, 24372)||(0.1153523, 24092)|
fff3599a4ae06bbc20ec9024f5384df242c820be 1472041304.09 128 5 64 False POLYNOMIALS |(0.2816621, 68242)||(0.274382, 10888)||(0.27304500000000004, 11031)||(0.2592145, 10749)||(0.2603954, 10843)|
fff3599a4ae06bbc20ec9024f5384df242c820be 1472041331.61 128 5 64 False BLOOM_FILTER |(0.2892825, 69281)||(0.2574167, 67762)||(0.26815779999999995, 67996)||(0.2807183, 68262)||(0.2688025, 68227)|
fff3599a4ae06bbc20ec9024f5384df242c820be 1472041359.18 128 5 64 False POLYNOMIALS_SIMPLE_HASH |(0.3055109, 69413)||(0.29555410000000004, 29159)||(0.28021179999999996, 27342)||(0.29565539999999996, 26867)||(0.2837709, 27668)|
fff3599a4ae06bbc20ec9024f5384df242c820be 1472041387.0 128 5 64 False GAUSS_SIMPLE_HASH |(0.29232440000000004, 69049)||(0.25493639999999995, 27824)||(0.2540247, 27640)||(0.25459750000000003, 26778)||(0.25383100000000003, 27110)|
fff3599a4ae06bbc20ec9024f5384df242c820be 1472041414.8 80 5 256 False POLYNOMIALS |(0.20452890000000004, 134394)||(0.1651852, 8898)||(0.16602699999999998, 9799)||(0.1675678, 9535)||(0.1671509, 9507)|
fff3599a4ae06bbc20ec9024f5384df242c820be 1472041441.36 80 5 256 False BLOOM_FILTER |(0.1555237, 138816)||(0.13416659999999997, 54781)||(0.13673570000000002, 54809)||(0.13459179999999998, 54730)||(0.1331143, 53733)|
fff3599a4ae06bbc20ec9024f5384df242c820be 1472041467.47 80 5 256 False POLYNOMIALS_SIMPLE_HASH |(0.3044724, 139833)||(0.2819142, 117468)||(0.27619790000000005, 117902)||(0.2820568, 117608)||(0.27632480000000004, 115042)|
fff3599a4ae06bbc20ec9024f5384df242c820be 1472041495.2 80 5 256 False GAUSS_SIMPLE_HASH |(0.28840309999999997, 139701)||(0.1322703, 129812)||(0.12398150000000001, 127663)||(0.1239438, 124780)||(0.1297152, 127902)|
fff3599a4ae06bbc20ec9024f5384df242c820be 1472041523.79 128 5 256 False POLYNOMIALS |(0.3526418, 134700)||(0.3171818, 13142)||(0.3053418, 13780)||(0.30204299999999995, 13480)||(0.31517359999999994, 13482)|
fff3599a4ae06bbc20ec9024f5384df242c820be 1472041551.93 128 5 256 False BLOOM_FILTER |(0.3061528, 139015)||(0.27207909999999996, 92703)||(0.28510789999999997, 94152)||(0.2834506, 89821)||(0.2723758, 92563)|
fff3599a4ae06bbc20ec9024f5384df242c820be 1472041579.64 128 5 256 False POLYNOMIALS_SIMPLE_HASH |(0.46572150000000007, 138089)||(0.4290877, 120409)||(0.42908929999999995, 119999)||(0.44154289999999996, 120399)||(0.41216660000000005, 120488)|
fff3599a4ae06bbc20ec9024f5384df242c820be 1472041609.04 128 5 256 False GAUSS_SIMPLE_HASH |(0.4813032, 138204)||(0.2747529, 125398)||(0.2948172, 126446)||(0.29962830000000007, 122811)||(0.28188130000000006, 121109)|
fff3599a4ae06bbc20ec9024f5384df242c820be 1472041638.53 80 5 1024 False POLYNOMIALS |(1.2545646, 498542)||(0.8004802999999999, 19352)||(0.7962077000000001, 17446)||(0.7911196, 17389)||(0.7962731000000001, 17355)|
fff3599a4ae06bbc20ec9024f5384df242c820be 1472041675.63 80 5 1024 False BLOOM_FILTER |(0.2386796, 513253)||(0.1836997, 569518)||(0.18176370000000003, 577420)||(0.1727101, 551830)||(0.17754739999999997, 570970)|
fff3599a4ae06bbc20ec9024f5384df242c820be 1472041702.61 80 5 1024 False POLYNOMIALS_SIMPLE_HASH |(1.1098348000000002, 517450)||(1.0353287, 557031)||(1.0336675000000002, 545129)||(1.0368221, 564033)||(1.0351469, 564755)|
fff3599a4ae06bbc20ec9024f5384df242c820be 1472041738.44 80 5 1024 False GAUSS_SIMPLE_HASH |(1.0220948, 525151)||(0.15599380000000002, 746796)||(0.15932239999999998, 747355)||(0.15442530000000004, 750474)||(0.1554582, 752096)|
fff3599a4ae06bbc20ec9024f5384df242c820be 1472041773.34 128 5 1024 False POLYNOMIALS |(1.3829932, 498503)||(0.9315403999999999, 22658)||(0.9331395, 21144)||(0.9301053999999999, 20588)||(0.9276505, 20452)|
fff3599a4ae06bbc20ec9024f5384df242c820be 1472041811.89 128 5 1024 False BLOOM_FILTER |(0.37416150000000004, 516201)||(0.3137032, 695759)||(0.31339370000000005, 672479)||(0.3176405, 653376)||(0.3202928, 643315)|
fff3599a4ae06bbc20ec9024f5384df242c820be 1472041840.32 128 5 1024 False POLYNOMIALS_SIMPLE_HASH |(1.2418135, 518215)||(1.1718146999999999, 568376)||(1.1741599, 570753)||(1.1716034000000002, 568978)||(1.1721829000000004, 568684)|
fff3599a4ae06bbc20ec9024f5384df242c820be 1472041877.33 128 5 1024 False GAUSS_SIMPLE_HASH |(1.1436461, 526503)||(0.2909574, 751183)||(0.2886492, 751605)||(0.2926411, 749287)||(0.2908981, 749216)|
fff3599a4ae06bbc20ec9024f5384df242c820be 1472041913.4 80 5 4 True  |(9.1691121, 49271)||(9.1611346, 23298)||(9.161163400000001, 20713)||(9.1662208, 18170)||(9.1616333, 15456)|
fff3599a4ae06bbc20ec9024f5384df242c820be 1472042029.66 128 5 4 True  |(17.4857598, 58710)||(17.4816104, 28081)||(17.481567700000003, 24830)||(17.482072100000003, 21989)||(17.480299600000002, 18639)|
fff3599a4ae06bbc20ec9024f5384df242c820be 1472042229.04 80 5 16 True  |(60.476882, 164328)||(60.467674699999996, 73850)||(60.46770130000001, 64552)||(60.469459300000004, 56164)||(60.471959800000015, 46796)|
fff3599a4ae06bbc20ec9024f5384df242c820be 1472042858.33 128 5 16 True  |(116.08512409999999, 197333)||(116.07708069999998, 90254)||(116.0787913, 125310)||(116.0809405, 67580)||(116.0786691, 75846)|
fff3599a4ae06bbc20ec9024f5384df242c820be 1472044043.56 80 5 64 True  |(795.9418778, 652188)||(795.9032988000001, 281281)||(795.9166844, 375841)||(795.9276407, 211941)||(795.9228397999999, 173701)|
fff3599a4ae06bbc20ec9024f5384df242c820be 1472060287.26 128 5 64 True  |(1461.4996637999998, 747266)||(1461.4380829, 340440)||(1461.4643284, 293376)||(1461.4843262000002, 262916)||(1461.467962, 209041)|
