rev bandwidth latency start_time key_size num_parties set_size old_method strategy result
cd5dfcceb7d8664088b9e23c33bcfddbfd49cb06 None None 1472742240.01 80 5 1024 False BLOOM_FILTER |(0.232269, 514266)||(0.178823, 585183)||(0.179778, 635476)||(0.173317, 600692)||(0.173099, 590699)|
cd5dfcceb7d8664088b9e23c33bcfddbfd49cb06 None None 1472742243.08 80 5 1024 False BLOOM_FILTER |(0.298958, 514596)||(0.243028, 515920)||(0.19544399999999998, 538545)||(0.19561699999999999, 519075)||(0.245208, 587983)|
cd5dfcceb7d8664088b9e23c33bcfddbfd49cb06 None None 1472742246.19 80 5 1024 False BLOOM_FILTER |(0.301827, 513714)||(0.243781, 575706)||(0.199971, 519091)||(0.246562, 700942)||(0.199951, 538513)|
cd5dfcceb7d8664088b9e23c33bcfddbfd49cb06 None None 1472742249.29 80 5 1024 False POLYNOMIALS_SIMPLE_HASH |(1.1225129999999999, 510174)||(1.005749, 284165)||(1.0180230000000001, 310732)||(1.017894, 309292)||(1.017858, 319715)|
cd5dfcceb7d8664088b9e23c33bcfddbfd49cb06 None None 1472742253.21 80 5 1024 False POLYNOMIALS_SIMPLE_HASH |(1.13069, 509778)||(1.0194640000000001, 310814)||(1.019037, 310798)||(1.010571, 274656)||(1.018783, 320177)|
cd5dfcceb7d8664088b9e23c33bcfddbfd49cb06 None None 1472742257.16 80 5 1024 False POLYNOMIALS_SIMPLE_HASH |(1.117718, 510042)||(1.01735, 309390)||(1.017136, 283753)||(1.01716, 321221)||(1.009521, 311860)|
cd5dfcceb7d8664088b9e23c33bcfddbfd49cb06 None None 1472742261.08 80 5 1024 False GAUSS_SIMPLE_HASH |(1.065658, 509910)||(0.201799, 761897)||(0.169677, 136506)||(0.19919499999999998, 771888)||(0.19136799999999998, 522700)|
cd5dfcceb7d8664088b9e23c33bcfddbfd49cb06 None None 1472742264.94 80 5 1024 False GAUSS_SIMPLE_HASH |(1.023652, 512946)||(0.131999, 749962)||(0.136344, 769732)||(0.13243100000000002, 785650)||(0.125888, 533056)|
cd5dfcceb7d8664088b9e23c33bcfddbfd49cb06 None None 1472742268.76 80 5 1024 False GAUSS_SIMPLE_HASH |(0.9918060000000001, 513936)||(0.12853, 756500)||(0.136766, 741396)||(0.131486, 775280)||(0.13098400000000002, 756098)|
cd5dfcceb7d8664088b9e23c33bcfddbfd49cb06 None None 1472742272.55 80 5 4096 False BLOOM_FILTER |(0.532601, 2067138)||(0.336021, 3243221)||(0.328454, 3109743)||(0.33236200000000005, 3483154)||(0.336935, 3485986)|
