rev bandwidth latency start_time key_size num_parties set_size old_method strategy result
61cdff52137ad758d392ac6ab2d6fa8a96ced438 None None 1473016637.18 80 5 1024 False BLOOM_FILTER |(0.1861923, 678669)||(0.15746100000000002, 530547)||(0.15973510000000002, 553987)||(0.16049799999999997, 559215)||(0.16708260000000003, 596607)|
61cdff52137ad758d392ac6ab2d6fa8a96ced438 None None 1473016661.78 80 5 1024 False POLYNOMIALS_SIMPLE_HASH |(0.39901439999999994, 674865)||(0.29926440000000004, 313795)||(0.2830988, 301869)||(0.28279550000000003, 309889)||(0.2904082, 305210)|
61cdff52137ad758d392ac6ab2d6fa8a96ced438 None None 1473016690.27 80 5 1024 False GAUSS_SIMPLE_HASH |(0.44056490000000004, 1139973)||(0.141839, 725862)||(0.14546109999999998, 733891)||(0.1459124, 720232)||(0.14208939999999998, 721369)|
61cdff52137ad758d392ac6ab2d6fa8a96ced438 None None 1473016719.54 128 5 1024 False BLOOM_FILTER |(0.34848329999999994, 681599)||(0.3240801, 660170)||(0.32097230000000004, 685675)||(0.3194929999999999, 703943)||(0.3241559, 665127)|
61cdff52137ad758d392ac6ab2d6fa8a96ced438 None None 1473016748.24 128 5 1024 False POLYNOMIALS_SIMPLE_HASH |(0.5546217, 675374)||(0.42869650000000004, 315379)||(0.4403404999999999, 302286)||(0.4387284, 311029)||(0.43766730000000004, 301740)|
61cdff52137ad758d392ac6ab2d6fa8a96ced438 None None 1473016778.55 128 5 1024 False GAUSS_SIMPLE_HASH |(0.5795123999999999, 1139931)||(0.2837874, 671637)||(0.2870219, 710036)||(0.28531460000000003, 633569)||(0.2901625, 702126)|
61cdff52137ad758d392ac6ab2d6fa8a96ced438 None None 1473016809.37 80 5 4096 False BLOOM_FILTER |(0.3816532, 2763458)||(0.33776740000000005, 3245146)||(0.34115890000000004, 3264674)||(0.3413448, 3193932)||(0.34060080000000004, 3285182)|
61cdff52137ad758d392ac6ab2d6fa8a96ced438 None None 1473016838.69 80 5 4096 False POLYNOMIALS_SIMPLE_HASH |(1.2670347999999998, 2765884)||(1.0231958, 2343555)||(1.0404642, 2306435)||(1.0189413000000003, 2319203)||(1.0271268, 2359104)|
61cdff52137ad758d392ac6ab2d6fa8a96ced438 None None 1473016876.63 80 5 4096 False GAUSS_SIMPLE_HASH |(1.7145731000000002, 4938791)||(0.21545160000000002, 4466844)||(0.2111224, 4300700)||(0.20360780000000003, 4378651)||(0.21559599999999998, 4376839)|
61cdff52137ad758d392ac6ab2d6fa8a96ced438 None None 1473016919.32 128 5 4096 False BLOOM_FILTER |(0.5470658, 2756400)||(0.48804279999999994, 3192044)||(0.4893845, 3331790)||(0.5016225999999999, 3317686)||(0.5016165, 3308420)|
61cdff52137ad758d392ac6ab2d6fa8a96ced438 None None 1473016950.37 128 5 4096 False POLYNOMIALS_SIMPLE_HASH |(1.4063915, 2745150)||(1.1490668000000002, 2273410)||(1.1840724000000002, 2320853)||(1.1687933, 2297668)||(1.1537631000000004, 2306918)|
61cdff52137ad758d392ac6ab2d6fa8a96ced438 None None 1473016989.57 128 5 4096 False GAUSS_SIMPLE_HASH |(1.9001499000000002, 4918615)||(0.4011709, 4451761)||(0.4023027, 4438654)||(0.4002486, 4384343)||(0.39741420000000005, 4363486)|
61cdff52137ad758d392ac6ab2d6fa8a96ced438 None None 1473017034.13 80 5 16384 False BLOOM_FILTER |(1.069569, 11546030)||(0.9641276, 14365745)||(0.9735223000000002, 14345218)||(0.9604771999999999, 14132154)||(0.961065, 14369148)|
61cdff52137ad758d392ac6ab2d6fa8a96ced438 None None 1473017071.99 80 5 16384 False POLYNOMIALS_SIMPLE_HASH |(6.6594409, 11679918)||(4.2110872, 12341991)||(4.2434750999999995, 12292929)||(4.2431629000000015, 12370479)||(4.2982289, 12385616)|
61cdff52137ad758d392ac6ab2d6fa8a96ced438 None None 1473017166.08 80 5 16384 False GAUSS_SIMPLE_HASH |(7.5384896, 20289205)||(0.45061049999999997, 22923408)||(0.4388554, 23168490)||(0.43122540000000004, 22739019)||(0.4396223, 23285004)|
61cdff52137ad758d392ac6ab2d6fa8a96ced438 None None 1473017268.87 128 5 16384 False BLOOM_FILTER |(1.2498482000000002, 11548791)||(1.1574775000000002, 14354047)||(1.1500082999999999, 14225958)||(1.1478277000000001, 14252409)||(1.1579392999999998, 14463809)|
61cdff52137ad758d392ac6ab2d6fa8a96ced438 None None 1473017308.41 128 5 16384 False POLYNOMIALS_SIMPLE_HASH |(6.7497962000000005, 11672498)||(4.457535399999999, 12360261)||(4.470243299999998, 12350074)||(4.4575355, 12295878)||(4.459438899999999, 12340236)|
