rev bandwidth latency start_time key_size num_parties set_size old_method strategy result
3a4648ad4b16d0aed8d755a830bbf4a914d5f8ae None None 1473282144.49 80 5 1024 False BLOOM_FILTER |(0.20144499999999999, 680020)||(0.182113, 575904)||(0.17913900000000002, 587619)||(0.176162, 465117)||(0.176824, 818121)|
3a4648ad4b16d0aed8d755a830bbf4a914d5f8ae None None 1473282147.22 80 5 1024 False BLOOM_FILTER |(0.19986, 679438)||(0.181362, 516118)||(0.177407, 584771)||(0.179269, 529175)||(0.174569, 819545)|
3a4648ad4b16d0aed8d755a830bbf4a914d5f8ae None None 1473282149.96 80 5 1024 False BLOOM_FILTER |(0.19631700000000002, 681010)||(0.177208, 515920)||(0.181994, 590401)||(0.18188300000000002, 529175)||(0.18018299999999998, 750744)|
3a4648ad4b16d0aed8d755a830bbf4a914d5f8ae None None 1473282152.69 80 5 1024 False BLOOM_FILTER |(0.20305299999999998, 680614)||(0.177092, 584787)||(0.18190199999999998, 515970)||(0.181361, 635526)||(0.17371799999999998, 758335)|
3a4648ad4b16d0aed8d755a830bbf4a914d5f8ae None None 1473282155.39 80 5 1024 False BLOOM_FILTER |(0.196943, 678436)||(0.18213300000000002, 575904)||(0.177843, 635542)||(0.179651, 645899)||(0.174663, 759759)|
3a4648ad4b16d0aed8d755a830bbf4a914d5f8ae None None 1473282158.12 80 5 1024 False BLOOM_FILTER |(0.199118, 680824)||(0.177294, 711413)||(0.181271, 590401)||(0.18143399999999998, 529175)||(0.179655, 631172)|
3a4648ad4b16d0aed8d755a830bbf4a914d5f8ae None None 1473282160.86 80 5 1024 False BLOOM_FILTER |(0.201558, 678316)||(0.176651, 635492)||(0.18360200000000002, 701090)||(0.176925, 515888)||(0.18101699999999998, 631172)|
3a4648ad4b16d0aed8d755a830bbf4a914d5f8ae None None 1473282163.59 80 5 1024 False BLOOM_FILTER |(0.205881, 680614)||(0.179563, 584787)||(0.179035, 695328)||(0.17684, 587537)||(0.184678, 697125)|
3a4648ad4b16d0aed8d755a830bbf4a914d5f8ae None None 1473282166.32 80 5 1024 False BLOOM_FILTER |(0.274689, 680746)||(0.20287799999999998, 713779)||(0.254698, 584837)||(0.253643, 584821)||(0.203094, 791547)|
3a4648ad4b16d0aed8d755a830bbf4a914d5f8ae None None 1473282169.09 80 5 1024 False BLOOM_FILTER |(0.20521899999999998, 681670)||(0.17788900000000002, 672505)||(0.176482, 515904)||(0.18562700000000001, 600890)||(0.181975, 797243)|
3a4648ad4b16d0aed8d755a830bbf4a914d5f8ae None None 1473282171.83 80 5 1024 False POLYNOMIALS_SIMPLE_HASH |(0.472764, 674608)||(0.286451, 292916)||(0.31365699999999996, 327536)||(0.361628, 321419)||(0.370376, 309606)|
3a4648ad4b16d0aed8d755a830bbf4a914d5f8ae None None 1473282174.84 80 5 1024 False POLYNOMIALS_SIMPLE_HASH |(0.39368200000000003, 674872)||(0.290782, 291558)||(0.302659, 303471)||(0.290724, 319995)||(0.280868, 310898)|
3a4648ad4b16d0aed8d755a830bbf4a914d5f8ae None None 1473282177.68 80 5 1024 False POLYNOMIALS_SIMPLE_HASH |(0.378414, 675400)||(0.29556099999999996, 338189)||(0.287856, 338107)||(0.283837, 310914)||(0.284346, 300459)|
3a4648ad4b16d0aed8d755a830bbf4a914d5f8ae None None 1473282180.53 80 5 1024 False POLYNOMIALS_SIMPLE_HASH |(0.454216, 675004)||(0.281506, 321385)||(0.361582, 329158)||(0.300752, 309490)||(0.344989, 309606)|
3a4648ad4b16d0aed8d755a830bbf4a914d5f8ae None None 1473282183.44 80 5 1024 False POLYNOMIALS_SIMPLE_HASH |(0.403057, 675070)||(0.29024, 300507)||(0.290451, 328960)||(0.289974, 300475)||(0.30597399999999997, 330352)|
3a4648ad4b16d0aed8d755a830bbf4a914d5f8ae None None 1473282186.33 80 5 1024 False POLYNOMIALS_SIMPLE_HASH |(0.390855, 675070)||(0.29730399999999996, 318735)||(0.27332, 273446)||(0.28530099999999997, 292884)||(0.288779, 337943)|
3a4648ad4b16d0aed8d755a830bbf4a914d5f8ae None None 1473282189.24 80 5 1024 False POLYNOMIALS_SIMPLE_HASH |(0.392843, 675202)||(0.29943000000000003, 336699)||(0.30878, 330516)||(0.28464999999999996, 310914)||(0.292709, 291444)|
3a4648ad4b16d0aed8d755a830bbf4a914d5f8ae None None 1473282192.1 80 5 1024 False POLYNOMIALS_SIMPLE_HASH |(0.403315, 674806)||(0.286539, 311012)||(0.29077800000000004, 347056)||(0.31376, 319995)||(0.277306, 312322)|
3a4648ad4b16d0aed8d755a830bbf4a914d5f8ae None None 1473282194.95 80 5 1024 False POLYNOMIALS_SIMPLE_HASH |(0.397538, 675004)||(0.278566, 311474)||(0.290434, 283885)||(0.306424, 336601)||(0.288578, 309474)|
3a4648ad4b16d0aed8d755a830bbf4a914d5f8ae None None 1473282197.8 80 5 1024 False POLYNOMIALS_SIMPLE_HASH |(0.37735700000000005, 675202)||(0.285325, 327618)||(0.28467000000000003, 301981)||(0.285193, 300541)||(0.273281, 310898)|
