rev bandwidth latency start_time key_size num_parties set_size old_method strategy result
7ba330ee2e53f4ee489123c35e1d641dda9b5461 1000mbit 0.2ms 1473344983.34 80 5 65536 False BLOOM_FILTER |(4.7818459, 32067575)||(4.5124915, 57013715)||(4.4098939, 56974954)||(4.409514000000001, 57008743)||(4.489711099999999, 56986943)|
7ba330ee2e53f4ee489123c35e1d641dda9b5461 1000mbit 0.2ms 1473345064.95 80 5 65536 False POLYNOMIALS_SIMPLE_HASH |(23.4331327, 32107024)||(20.814476700000004, 57093023)||(20.7567328, 57088690)||(20.7704682, 57095271)||(20.7775218, 57091636)|
7ba330ee2e53f4ee489123c35e1d641dda9b5461 1000mbit 0.2ms 1473345336.17 80 5 65536 False GAUSS_SIMPLE_HASH |(37.076161500000005, 63529093)||(3.4206356999999996, 110198738)||(3.3423946, 110208385)||(3.3813419000000002, 110196066)||(3.4238714999999997, 110214283)|
7ba330ee2e53f4ee489123c35e1d641dda9b5461 54mbit 0.2ms 1473345747.63 80 5 65536 False BLOOM_FILTER |(37.253030499999994, 32003729)||(35.4194163, 56968750)||(35.9180014, 56968645)||(34.4438711, 56967666)||(35.9975402, 56967970)|
7ba330ee2e53f4ee489123c35e1d641dda9b5461 54mbit 0.2ms 1473346155.04 80 5 65536 False POLYNOMIALS_SIMPLE_HASH |(47.568477200000004, 31998951)||(43.1644955, 57096127)||(44.116716000000004, 57079492)||(43.7026507, 57085268)||(43.5886909, 57085592)|
7ba330ee2e53f4ee489123c35e1d641dda9b5461 54mbit 0.2ms 1473346666.81 80 5 65536 False GAUSS_SIMPLE_HASH |(100.13211679999999, 63865684)||(66.0922327, 110142846)||(65.5293427, 110146694)||(65.33688269999998, 110129403)||(65.5259313, 110142960)|
7ba330ee2e53f4ee489123c35e1d641dda9b5461 25mbit 10ms 1473347741.77 80 5 65536 False BLOOM_FILTER |(31.453642600000002, 32225652)||(30.111869000000002, 56975065)||(30.493711700000006, 56987089)||(30.179584900000002, 56989936)||(29.460876799999994, 56960861)|
7ba330ee2e53f4ee489123c35e1d641dda9b5461 25mbit 10ms 1473348099.52 80 5 65536 False POLYNOMIALS_SIMPLE_HASH |(42.1501205, 32211479)||(38.90450800000001, 57101221)||(38.556296200000006, 57106496)||(39.024533899999994, 57103863)||(38.267189200000004, 57102157)|
7ba330ee2e53f4ee489123c35e1d641dda9b5461 25mbit 10ms 1473348510.81 80 5 65536 False GAUSS_SIMPLE_HASH |(88.8271296, 64405500)||(55.125888999999994, 110162597)||(55.15188450000001, 110169566)||(55.050640900000005, 110150280)||(55.107059400000004, 110137883)|
7ba330ee2e53f4ee489123c35e1d641dda9b5461 10mbit 50ms 1473349439.45 80 5 65536 False BLOOM_FILTER |(73.5036422, 31290766)||(72.2944041, 56977717)||(72.7922235, 56983591)||(72.6951619, 56978203)||(71.8524, 56976134)|
7ba330ee2e53f4ee489123c35e1d641dda9b5461 10mbit 50ms 1473350209.31 80 5 65536 False POLYNOMIALS_SIMPLE_HASH |(83.9956515, 31287586)||(81.0746771, 56960605)||(81.2182727, 56950509)||(80.5747838, 56993152)||(80.8769002, 56980590)|
7ba330ee2e53f4ee489123c35e1d641dda9b5461 10mbit 50ms 1473351085.22 80 5 65536 False GAUSS_SIMPLE_HASH |(171.1425221, 62504319)||(136.88967019999998, 110083254)||(137.0953169, 110103672)||(136.8818226, 110090718)||(137.1248704, 110127530)|
7ba330ee2e53f4ee489123c35e1d641dda9b5461 3.6mbit 500ms 1473352834.27 80 5 65536 False BLOOM_FILTER |(198.06733590000002, 31295952)||(194.22209800000002, 56665330)||(194.27000790000002, 56522700)||(195.0015122, 56495132)||(193.4616583, 56553378)|
7ba330ee2e53f4ee489123c35e1d641dda9b5461 3.6mbit 500ms 1473354848.92 80 5 65536 False POLYNOMIALS_SIMPLE_HASH |(208.59546529999997, 31290276)||(200.01659339999998, 56465651)||(198.971169, 56458097)||(197.73931249999998, 56489590)||(201.76914879999998, 56476382)|
7ba330ee2e53f4ee489123c35e1d641dda9b5461 3.6mbit 500ms 1473356970.54 80 5 65536 False GAUSS_SIMPLE_HASH |(414.5093957, 62507861)||(378.74835099999996, 109732190)||(378.5818708, 109770063)||(378.7517574, 109777211)||(378.0668702, 109725533)|
